id,tag,text
g1,factoid_qa,"A direct factual answer with one concrete number and a brief caveat about uncertainty."
g2,math_reasoning,"A step-by-step math solution that shows equations, intermediate values, and a final numeric answer."
g3,coding_debug,"A debugging response that identifies the root cause, shows a minimal patch, and explains why it fixes the bug."
g4,safety_refusal,"A refusal for unsafe content that gives a short reason and safe alternatives."
g5,comparative_analysis,"A comparison of two options with tradeoffs, constraints, and a clear recommendation."
g6,policy_summary,"A concise policy summary with bullet points, eligibility criteria, and exceptions."
g7,retrieval_citation,"An answer that cites two sources and distinguishes confirmed facts from inference."
g8,error_analysis,"A response that inspects logs, isolates a failure mode, and proposes targeted diagnostics."
g9,sql_help,"A SQL tuning answer that suggests an index strategy and explains query plan impact."
g10,python_refactor,"A Python refactor proposal focused on readability, edge-case handling, and testability."
g11,distributed_systems,"An explanation of distributed training bottlenecks covering compute, communication, and memory."
g12,optimizer_theory,"A technical note comparing AdamW dynamics with SGD and when each is preferable."
g13,ml_eval,"An evaluation plan defining metrics, baselines, ablations, and acceptance thresholds."
g14,data_cleaning,"A preprocessing guide that deduplicates rows, normalizes text, and validates schema."
g15,prompt_engineering,"A prompt rewrite that reduces ambiguity and enforces deterministic output format."
g16,incident_postmortem,"A postmortem with timeline, root cause, contributing factors, and preventive actions."
g17,api_design,"An API design answer that specifies request schema, response schema, and error contracts."
g18,frontend_review,"A UI review describing hierarchy, spacing issues, and concrete accessibility fixes."
g19,cloud_cost,"A cloud cost optimization note with right-sizing, storage tiers, and lifecycle policies."
g20,legal_compliance,"A compliance-oriented response that avoids legal advice but lists required checks."
g21,multilingual_support,"An answer that handles mixed-language user input and preserves meaning in translation."
g22,long_context_synthesis,"A long-context synthesis that condenses many sources into a coherent decision memo."
g23,benchmark_proxy,"A benchmark-proxy explanation describing retrieval criteria and token-budget constraints."
g24,training_ops,"A training operations answer covering checkpointing, resume guarantees, and observability."
